0.1047197551197 32.76850291295 -0.1854923005969   32.48510666867 -0.04603615300894   
0.314159265359 32.74942732852 -0.3263683687324   32.45820707308 -0.1243212861399   
0.5235987755983 32.74652615721 -0.4181200568136   32.41923880521 -0.1832230489083   
0.7330382858376 32.752694691 -0.4902424395337   32.38288096922 -0.2239339571884   
0.9424777960769 32.76433004127 -0.5493432107944   32.35951473025 -0.2611392950588   
1.151917306316 32.78165174173 -0.5988671045412   32.32227270011 -0.3008133194064   
1.361356816556 32.80061216992 -0.6401232316417   32.28770087495 -0.3294000683979   
1.570796326795 32.81945434846 -0.6771171377664   32.254720191 -0.3496369113171   
1.780235837034 32.83887845199 -0.7097479047633   32.22584810405 -0.3674427135577   
1.989675347274 32.85952982386 -0.7372466839746   32.20165977292 -0.3859736926245   
2.199114857513 32.88108014575 -0.7599272454543   32.17944054735 -0.4055960837075   
2.408554367752 32.90261529888 -0.7788048816029   32.15601357857 -0.4251613006911   
2.617993877991 32.9232471545 -0.7948900172163   32.1298350512 -0.4431050512388   
2.827433388231 32.94244629213 -0.8088584040033   32.10128426309 -0.4581628998182   
3.03687289847 32.96007656395 -0.8210523455242   32.07190540838 -0.4697292506708   
3.246312408709 32.97627412059 -0.8316120107349   32.04346731304 -0.4779016823371   
3.455751918949 32.99129698646 -0.8406035573795   32.01731514299 -0.4833043632385   
3.665191429188 33.00540997383 -0.8480964682054   31.99411641882 -0.486822985944   
3.874630939427 33.01882133587 -0.8541917773922   31.97390156477 -0.4893620391268   
4.084070449667 33.0316626757 -0.8590196524469   31.95625047932 -0.4916798319445   
4.293509959906 33.04399601655 -0.8627242870611   31.94050902076 -0.4943083709258   
4.502949470145 33.05583331228 -0.8654477624923   31.9259711605 -0.4975400813918   
4.712388980385 33.06715820705 -0.8673183229605   31.91200369101 -0.5014570884982   
4.921828490624 33.07794444755 -0.8684443250489   31.89811436003 -0.5059818090038   
5.131268000863 33.08816880125 -0.8689129805356   31.88397490876 -0.5109333333746   
5.340707511103 33.09781845687 -0.8687922929373   31.86941317631 -0.5160795797016   
5.550147021342 33.10689392922 -0.8681346405804   31.85438723788 -0.5211796671624   
5.759586531581 33.11540881862 -0.8669808310242   31.83895182449 -0.5260143326113   
5.969026041821 33.1233876967 -0.8653638767356   31.82322423754 -0.5304045871792   
6.17846555206 33.1308631327 -0.8633121027151   31.807354206 -0.5342202830764   
6.387905062299 33.13787257246 -0.860851455837   31.79149989607 -0.53738096854   
6.597344572539 33.1444555102 -0.8580070467275   31.77581065426 -0.5398515268745   
6.806784082778 33.15065117956 -0.8548040408697   31.76041601418 -0.5416348286416   
7.016223593017 33.15649683859 -0.8512680478141   31.745419932 -0.5427631611833   
7.225663103257 33.1620266277 -0.8474251566258   31.73089901079 -0.5432896855257   
7.435102613496 33.16727092572 -0.8433017472778   31.71690350661 -0.5432807023604   
7.644542123735 33.17225610609 -0.8389241817969   31.7034600738 -0.5428091333385   
7.853981633974 33.1770045921 -0.8343184521703   31.69057542579 -0.5419493532392   
8.063421144214 33.18153511825 -0.8295098375101   31.67824030873 -0.540773332549   
8.272860654453 33.18586311923 -0.8245226030366   31.666433381 -0.5393479500288   
8.482300164692 33.19000118368 -0.8193797579831   31.65512474953 -0.5377332893675   
8.691739674932 33.19395952604 -0.8141028782845   31.64427903239 -0.5359817241828   
8.901179185171 33.1977464433 -0.8087119924968   31.63385790061 -0.5341376073029   
9.11061869541 33.20136873515 -0.8032255248535   31.62382210642 -0.532237402691   
9.32005820565 33.20483207502 -0.797660286865   31.61413303836 -0.5303101246526   
9.529497715889 33.20814132673 -0.7920315080866   31.60475386024 -0.5283779753681   
9.738937226128 33.21130080587 -0.7863528968475   31.59565029743 -0.5264570958377   
9.948376736368 33.21431448878 -0.78063672245   31.58679113354 -0.5245583659992   
10.15781624661 33.21718617382 -0.7748939115961   31.57814847582 -0.5226882071983   
10.36725575685 33.21991960073 -0.769134152804   31.56969784143 -0.5208493540361   
10.57669526709 33.22251853434 -0.7633660040633   31.56141810904 -0.5190415737647   
10.78613477732 33.22498681881 -0.7575969998319   31.55329137321 -0.5172623197995   
10.99557428756 33.22732840802 -0.751833754692   31.54530273201 -0.5155073125306   
11.2050137978 33.22954737753 -0.7460820616788   31.53744003249 -0.5137710451895   
11.41445330804 33.23164792244 -0.7403469840023   31.529693593 -0.51204721608   
11.62389281828 33.23363434513 -0.7346329394819   31.5220559172 -0.510329090758   
11.83333232852 33.23551103604 -0.7289437773814   31.51452141066 -0.5086097993205   
12.04277183876 33.23728245022 -0.7232828476459   31.50708610806 -0.5068825748119   
12.252211349 33.23895308148 -0.7176530627875   31.49974741641 -0.5051409392301   
12.46165085924 33.24052743597 -0.7120569527971   31.49250387782 -0.5033788436531   
12.67109036948 33.2420100063 -0.7064967135993   31.48535495393 -0.5015907688731   
12.88052987972 33.243405247 -0.7009742495423   31.47830083272 -0.4997717925418   
13.08996938996 33.24471755202 -0.6954912105001   31.47134225771 -0.4979176283333   
13.2994089002 33.2459512345 -0.6900490242306   31.46448037901 -0.4960246425779   
13.50884841044 33.24711050909 -0.6846489240304   31.457716625 -0.4940898510867   
13.71828792068 33.2481994772 -0.679291974167   31.45105259265 -0.492110907071   
13.92772743091 33.24922211351 -0.6739790866364   31.44448995831 -0.4900860590631   
14.13716694115 33.25018225875 -0.6687110515595   31.43803039483 -0.4880141607079   
14.34660645139 33.25108360517 -0.6634885187461   31.43167553171 -0.4858945034497   
14.55604596163 33.2519297054 -0.6583120940761   31.42542685165 -0.4837270904669   
14.76548547187 33.25272394323 -0.6531821693947   31.41928577943 -0.4815118691115   
14.97492498211 33.25346956564 -0.6480992820307   31.41325339808 -0.4792501397025   
15.18436449235 33.25416966086 -0.643063539261   31.4073308782 -0.476941918078   
15.39380400259 33.25482711304 -0.6380754478204   31.4015188076 -0.4745898937245   
15.60324351283 33.25544481151 -0.6331349971265   31.39581792907 -0.4721941570144   
15.81268302307 33.25602518311 -0.6282423754823   31.39022864791 -0.4697576615795   
16.02212253331 33.25657096448 -0.623397864464   31.38475075245 -0.4672820528188   
16.23156204355 33.25708425398 -0.6186011499246   31.37938489804 -0.4647688118476   
16.44100155379 33.25756738809 -0.6138525879783   31.37413003298 -0.4622213899131   
16.65044106403 33.25802242463 -0.6091519985195   31.36898625151 -0.4596410368565   
16.85988057427 33.25845124849 -0.6044992822554   31.36395288902 -0.4570306668649   
17.0693200845 33.25885572886 -0.5998943685543   31.35902892937 -0.4543924069261   
17.27875959474 33.25923752203 -0.5953372558562   31.35421350683 -0.4517292075784   
17.48819910498 33.25959830746 -0.5908276186923   31.34950582484 -0.4490428596332   
17.69763861522 33.25993949494 -0.5863653267956   31.34490434131 -0.4463358482422   
17.90707812546 33.26026243556 -0.5819502194017   31.34040775062 -0.443611173098   
18.1165176357 33.26056854611 -0.5775820810706   31.3360148537 -0.4408706094692   
