0.1047197551197 33.80289215755 -0.1334112526197   33.35034111805 -0.02974552794879   
0.314159265359 33.79094622197 -0.2636857016237   33.34120313564 -0.08685122900484   
0.5235987755983 33.78610823184 -0.3532934179727   33.32085413236 -0.1398747645646   
0.7330382858376 33.78905494165 -0.4239213366133   33.29663631426 -0.1814527068067   
0.9424777960769 33.79555919936 -0.4835449034452   33.27013371925 -0.2179657846725   
1.151917306316 33.80448254669 -0.5338793427276   33.25276738415 -0.2474559625044   
1.361356816556 33.81621574801 -0.5774813290316   33.22540720173 -0.2810811667022   
1.570796326795 33.8283294811 -0.6153596673621   33.19949207117 -0.309155100455   
1.780235837034 33.8405020204 -0.64861235681   33.17683116101 -0.3309984837929   
1.989675347274 33.8531437755 -0.6780017330314   33.15457155134 -0.3507023090605   
2.199114857513 33.86624373776 -0.7038887319203   33.13121830458 -0.370588654653   
2.408554367752 33.87938403351 -0.7264761243201   33.10705708689 -0.3903914768316   
2.617993877991 33.892094242 -0.7459939623803   33.08290346742 -0.4088459150787   
2.827433388231 33.90407329683 -0.76274481688   33.05931085136 -0.4249657201146   
3.03687289847 33.91522354367 -0.7770698324417   33.03644612357 -0.4384442562642   
3.246312408709 33.92558576347 -0.7893010034625   33.01426134669 -0.449527955978   
3.455751918949 33.93525750613 -0.7997298724967   32.99267408079 -0.4587389588676   
3.665191429188 33.94433445733 -0.808596666207   32.9716571742 -0.4666398179795   
3.874630939427 33.95288236649 -0.8160933971511   32.95124759335 -0.4736960047014   
4.084070449667 33.96093226201 -0.8223733114664   32.9315150347 -0.4802261092277   
4.293509959906 33.96848847096 -0.8275613161809   32.91252430429 -0.4864086715067   
4.502949470145 33.97554095852 -0.8317626357684   32.89430909134 -0.4923156294271   
4.712388980385 33.98207679305 -0.8350688689737   32.87686148456 -0.4979514739445   
4.921828490624 33.98808837977 -0.8375616869276   32.86013436813 -0.5032868703983   
5.131268000863 33.99357799492 -0.8393148315378   32.84405148155 -0.5082826682649   
5.340707511103 33.99855916337 -0.8403951006165   32.82852031171 -0.5129043979106   
5.550147021342 34.00305580519 -0.840862851699   32.81344442086 -0.5171292092714   
5.759586531581 34.00710008573 -0.8407723635313   32.7987333293 -0.5209476446424   
5.969026041821 34.01072973209 -0.8401722274499   32.78430925792 -0.5243623699407   
6.17846555206 34.01398535354 -0.8391058261886   32.77011080774 -0.5273854686914   
6.387905062299 34.01690809069 -0.8376118924894   32.75609406964 -0.530035370285   
6.597344572539 34.01953775068 -0.8357251099969   32.74223182054 -0.5323340379157   
6.806784082778 34.02191146689 -0.8334767138463   32.72851146433 -0.5343047147608   
7.016223593017 34.02406284825 -0.8308950545834   32.7149322912 -0.5359703092723   
7.225663103257 34.02602154411 -0.8280061001878   32.70150250798 -0.5373523727725   
7.435102613496 34.02781313598 -0.8248338625312   32.68823636413 -0.5384705605123   
7.644542123735 34.02945926826 -0.8214007443397   32.67515158331 -0.539342449089   
7.853981633974 34.03097793944 -0.8177278100124   32.66226721466 -0.5399835911192   
8.063421144214 34.03238388866 -0.8138349879798   32.64960194575 -0.5404077083364   
8.272860654453 34.03368902695 -0.8097412149414   32.63717286779 -0.5406269492456   
8.482300164692 34.03490287564 -0.8054645331723   32.62499465081 -0.5406521609136   
8.691739674932 34.03603298617 -0.8010221516496   32.61307906876 -0.5404931437948   
8.901179185171 34.03708532498 -0.7964304808507   32.60143480721 -0.540158873389   
9.11061869541 34.03806461428 -0.7917051497273   32.59006748725 -0.539657682807   
9.32005820565 34.03897462528 -0.7868610116968   32.57897984461 -0.5389974065478   
9.529497715889 34.03981842379 -0.7819121450886   32.56817201139 -0.5381854894889   
9.738937226128 34.04059857099 -0.776871852116   32.55764185709 -0.5372290666629   
9.948376736368 34.04131728361 -0.7717526591457   32.54738535504 -0.5361350195464   
10.15781624661 34.04197655825 -0.7665663202189   32.53739694866 -0.534910014372   
10.36725575685 34.04257826512 -0.7613238247277   32.52766989993 -0.5335605269948   
10.57669526709 34.04312421624 -0.7560354098257   32.51819660803 -0.5320928581771   
10.78613477732 34.04361621267 -0.7507105774126   32.50896889181 -0.5305131421275   
10.99557428756 34.04405607508 -0.7453581154875   32.49997823272 -0.5288273506594   
11.2050137978 34.04444566124 -0.7399861232742   32.49121597831 -0.5270412944837   
11.41445330804 34.04478687366 -0.7346020394801   32.48267350794 -0.5251606228766   
11.62389281828 34.04508165987 -0.7292126730325   32.47434236358 -0.523190822512   
11.83333232852 34.04533200754 -0.7238242356061   32.46621434951 -0.5211372160403   
12.04277183876 34.04553993621 -0.7184423752824   32.45828160475 -0.5190049607485   
12.252211349 34.0457074868 -0.7130722107702   32.45053665238 -0.5167990475459   
12.46165085924 34.04583671024 -0.7077183656596   32.44297242951 -0.514524300392   
12.67109036948 34.04592965565 -0.702385002309   32.43558230144 -0.5121853762654   
12.88052987972 34.04598835889 -0.6970758549435   32.42836006331 -0.5097867656257   
13.08996938996 34.04601483183 -0.6917942617361   32.42129993191 -0.5073327935086   
13.2994089002 34.04601105251 -0.6865431955623   32.41439653051 -0.504827620678   
13.50884841044 34.04597895639 -0.6813252934875   32.40764486707 -0.502275247034   
13.71828792068 34.04592042891 -0.6761428841121   32.40104031399 -0.4996795085294   
13.92772743091 34.04583729892 -0.6709980153489   32.39457856848 -0.4970440985397   
14.13716694115 34.0457313341 -0.6658924740726   32.38825566502 -0.4943725129207   
14.34660645139 34.04560423524 -0.6608278226669   32.38206783893 -0.4916682162064   
14.55604596163 34.04545763733 -0.6558053860245   32.37601176636 -0.4889342326208   
14.76548547187 34.04529309816 -0.6508263483835   32.37008395436 -0.4861740843406   
14.97492498211 34.04511211512 -0.6458916171104   32.36428184241 -0.4833899166789   
15.18436449235 34.0449160952 -0.6410021114105   32.35860189316 -0.4805858082611   
15.39380400259 34.04470639198 -0.6361583620965   32.35304224739 -0.4777627820128   
15.60324351283 34.04448428064 -0.6313610648527   32.34759962996 -0.474925055648   
15.81268302307 34.04425093479 -0.626610517307   32.34227191462 -0.4720740283698   
16.02212253331 34.04400755232 -0.6219071144671   32.33705704977 -0.4692118402149   
16.23156204355 34.04375510252 -0.6172510515051   32.33195221586 -0.4663419629505   
16.44100155379 34.04349467896 -0.6126425158623   32.32695556781 -0.4634650253248   
16.65044106403 34.04322717625 -0.6080814797882   32.32206536581 -0.4605834815014   
16.85988057427 34.04295342557 -0.6035680386962   32.31727897526 -0.4576997963765   
17.0693200845 34.04267436423 -0.5991021548588   32.31259441024 -0.4548153653328   
17.27875959474 34.04239062133 -0.5946835318692   32.30801059912 -0.4519306974646   
17.48819910498 34.04210298061 -0.5903122019047   32.3035249327 -0.449049462482   
17.69763861522 34.04181211465 -0.5859879641333   32.29913508019 -0.4461722653365   
17.90707812546 34.04151856796 -0.5817103798954   32.29484030033 -0.4432992664792   
18.1165176357 34.04122295244 -0.5774793053349   32.29063866354 -0.4404334098571   
18.32595714594 34.04092580505 -0.5732945379134   32.28652737543 -0.4375758915298   
18.53539665618 34.04062757259 -0.569155583223   32.2825051785 -0.4347268588342   
18.74483616642 34.04032869245 -0.5650620605573   32.27857108695 -0.4318877761544   
18.95427567666 34.0400296075 -0.5610137447751   32.27472278393 -0.4290599785633   
19.1637151869 34.03973071222 -0.5570102331243   32.27095803785 -0.4262443376645   
19.37315469714 34.03943229539 -0.5530509954414   32.2672756618 -0.4234417830994   
19.58259420738 34.03913464604 -0.5491356414444   32.26367437762 -0.4206528320759   
19.79203371762 34.03883813648 -0.5452638454378   32.2601522229 -0.4178780748561   
20.00147322786 34.03854305607 -0.541435134855   32.25670726837 -0.4151187888513   
20.21091273809 34.03824953007 -0.5376489744079   32.25333800891 -0.4123759165976   
20.42035224833 34.03795773761 -0.5339049461961   32.25004304159 -0.4096494482889   
20.62979175857 34.03766800325 -0.5302026727044   32.24682084468 -0.4069395349916   
20.83923126881 34.03738055943 -0.5265416579219   32.24366981841 -0.4042471698908   
21.04867077905 34.03709543042 -0.5229213554629   32.24058830861 -0.4015733338209   
21.25811028929 34.03681266475 -0.5193413250304   32.23757467379 -0.3989182801808   
21.46754979953 34.03653249962 -0.5158011877166   32.23462745557 -0.39628194025   
21.67698930977 34.03625517504 -0.5123004662033   32.23174539841 -0.3936645089264   
21.88642882001 34.03598072483 -0.5088385917966   32.22892720022 -0.3910664924999   
22.09586833025 34.03570908266 -0.5054150666496   32.22617129212 -0.3884885029616   
22.30530784049 34.03544031509 -0.5020295164779   32.22347595991 -0.3859310217463   
22.51474735073 34.0351746232 -0.4986815527437   32.22083969868 -0.3833941218017   
22.72418686097 34.03491213836 -0.4953706564041   32.21826139212 -0.3808774789368   
22.93362637121 34.03465282371 -0.4920962522245   32.21574008141 -0.3783809259276   
23.14306588144 34.03439659952 -0.4888578637105   32.21327454113 -0.3759049767245   
23.35250539168 34.03414349556 -0.4856551371234   32.21086312784 -0.3734505168349   
23.56194490192 34.0338936347 -0.4824877110765   32.20850411556 -0.3710178825896   
23.77138441216 34.03364709864 -0.4793551048632   32.2061962025 -0.368606474009   
23.9808239224 34.03340385807 -0.4762567588091   32.20393863634 -0.3662154751371   
24.19026343264 34.0331638352 -0.4731921672488   32.20173077151 -0.363844870476   
24.39970294288 34.03292700184 -0.470160946548   32.19957148813 -0.3614955481819   
24.60914245312 34.03269339931 -0.4671627711025   32.19745909085 -0.3591683604836   
24.81858196336 34.03246307727 -0.4641972587912   32.19539182833 -0.3568632102549   
25.0280214736 34.03223603336 -0.4612639280244   32.19336852599 -0.3545791544197   
25.23746098384 34.03201221385 -0.458362260126   32.1913886933 -0.3523153588948   
25.44690049408 34.03179156001 -0.4554917946221   32.18945198917 -0.3500718694913   
25.65634000432 34.03157404592 -0.4526521653194   32.18755756002 -0.3478494542929   
25.86577951456 34.03135967612 -0.4498430527087   32.18570387646 -0.3456487695546   
26.0752190248 34.03114845532 -0.4470641053036   32.18388920609 -0.3434697120111   
26.28465853503 34.03094036251 -0.4443149006208   32.18211227341 -0.3413115219623   
26.49409804527 34.03073534907 -0.4415949725529   32.18037251886 -0.3391734334574   
26.70353755551 34.03053335729 -0.4389038743591   32.1786697609 -0.3370552204319   
26.91297706575 34.03033434221 -0.4362412233853   32.17700358737 -0.3349571969925   
27.12241657599 34.03013828102 -0.4336066957691   32.17537299458 -0.3328797766506   
27.33185608623 34.0299451652 -0.4309999813591   32.17377653661 -0.3308230375744   
27.54129559647 34.02975498131 -0.4284207366642   32.17221281301 -0.3287866373456   
27.75073510671 34.02956769388 -0.4258685698435   32.17068088458 -0.3267700619431   
27.96017461695 34.02938324279 -0.4233430647603   32.16918031841 -0.3247729344232   
28.16961412719 34.02920155838 -0.4208438231823   32.1677108817 -0.3227951328487   
28.37905363743 34.02902258526 -0.4183704943021   32.16627215473 -0.3208366821962   
28.58849314767 34.0288462979 -0.4159227727621   32.16486334421 -0.3188975700924   
28.79793265791 34.0286726955 -0.4135003694235   32.163483388 -0.3169776534708   
29.00737216815 34.02850177763 -0.4111029765956   32.16213122689 -0.3150767015022   
29.21681167839 34.02833351648 -0.4087302512021   32.16080603056 -0.3131944988105   
29.42625118862 34.02816784605 -0.4063818248847   32.15950724583 -0.3113308942625   
29.63569069886 34.02800467692 -0.4040573335379   32.15823446949 -0.3094857727283   
29.8451302091 34.02784392919 -0.4017564434111   32.15698728526 -0.3076589598169   
30.05456971934 34.02768556062 -0.3994788627268   32.15576514024 -0.3058502187359   
30.26400922958 34.02752957371 -0.3972243222322   32.15456739189 -0.3040592213152   
30.47344873982 34.02737599083 -0.394992557854   32.15339332697 -0.3022857562857   
30.68288825006 34.02722482089 -0.3927832730486   32.15224234197 -0.3005296007901   
30.8923277603 34.0270760256 -0.3905961579051   32.15111382027 -0.2987908128425   
31.10176727054 34.0269295224 -0.3884308712322   32.15000729765 -0.297069251147   
31.31120678078 34.02678520561 -0.3862871059931   32.14892219576 -0.2953649689505   
31.52064629102 34.02664298542 -0.3841645617755   32.14785803004 -0.293677643834   
31.73008580126 34.026502825 -0.3820629925142   32.14681425879 -0.2920070150538   
31.9395253115 34.02636472624 -0.379982156671   32.14579040058 -0.2903527504091   
32.14896482174 34.02622873461 -0.3779218161962   32.14478608059 -0.2887144366544   
