0.1047197551197 -0.05370509912768 -0.6629226932215   0.7014487493701 -0.1180112146178   
0.314159265359 -0.0897415883957 -0.5016415431137   0.6073019895282 -0.2333884006385   
0.5235987755983 -0.0784626896114 -0.4242017487919   0.5042056799752 -0.2905974985643   
0.7330382858376 -0.06315863777614 -0.3754225637788   0.4154610243396 -0.3096138498033   
0.9424777960769 -0.04949965589913 -0.3402144777872   0.3460569255052 -0.3084702733663   
1.151917306316 -0.03828878966277 -0.3126290912445   0.2931689695734 -0.2979564734221   
1.361356816556 -0.0294622505678 -0.2904174777276   0.2530181010979 -0.2860052137709   
1.570796326795 -0.02227316806174 -0.2717848174981   0.2208258065202 -0.2726967997795   
1.780235837034 -0.01640232790349 -0.2557419791329   0.1949185604883 -0.2590678959307   
1.989675347274 -0.01166831563585 -0.2417713729045   0.1741778059231 -0.24632216966   
2.199114857513 -0.007867708188279 -0.2295229864798   0.1573016927687 -0.2348969322748   
2.408554367752 -0.004795865961854 -0.2187028769369   0.1431313062654 -0.2246397777822   
2.617993877991 -0.002287122907082 -0.209057078867   0.130890061655 -0.2152319103434   
2.827433388231 -0.0002246914529213 -0.2003763353711   0.1201554950068 -0.2064330532232   
3.03687289847 0.001470167377692 -0.1924963237429   0.1107175064 -0.1981356519546   
3.246312408709 0.002853411119928 -0.1852914302215   0.1024498630821 -0.1903261378167   
3.455751918949 0.003969649550331 -0.1786658719624   0.09523703928548 -0.1830286748864   
3.665191429188 0.004858227182991 -0.1725452840143   0.08894942191638 -0.1762646322098   
3.874630939427 0.005555364705442 -0.1668701454147   0.08344603542934 -0.1700336798568   
4.084070449667 0.006094241674682 -0.1615912133465   0.07858707105547 -0.1643110175724   
4.293509959906 0.006504407440065 -0.1566665914917   0.07424592495314 -0.1590531764799   
4.502949470145 0.006811269493538 -0.152059935558   0.07031664689156 -0.1542065400026   
4.712388980385 0.007035934417392 -0.1477393673208   0.06671640065501 -0.1497151730906   
4.921828490624 0.007195408740619 -0.1436767911678   0.06338416769141 -0.1455265127906   
5.131268000863 0.007303054745636 -0.1398474207185   0.06027728851477 -0.1415946972373   
5.340707511103 0.007369175403324 -0.1362294072646   0.05736719368091 -0.1378819159918   
5.550147021342 0.007401624378658 -0.1328035162368   0.05463524302613 -0.1343583644598   
5.759586531581 0.007406371538814 -0.1295528293783   0.05206917967032 -0.131001363556   
5.969026041821 0.00738798669078 -0.1264624663652   0.04966039436574 -0.1277940895587   
6.17846555206 0.00735002862719 -0.1235193264383   0.04740199669849 -0.1247242221321   
6.387905062299 0.007295342339602 -0.1207118524517   0.04528758303681 -0.1217826970094   
6.597344572539 0.007226275835269 -0.1180298192999   0.04331054939694 -0.1189626569632   
6.806784082778 0.007144831467373 -0.1154641474439   0.04146379578501 -0.1162586311907   
7.016223593017 0.007052766907888 -0.1130067409876   0.03973968794986 -0.1136659344089   
7.225663103257 0.006951659325855 -0.1106503487702   0.03813017014298 -0.1111802565   
7.435102613496 0.006842944005462 -0.1083884463183   0.03662695080227 -0.1087974055526   
7.644542123735 0.006727936148394 -0.1062151361963   0.03522170806761 -0.1065131668485   
7.853981633974 0.006607842338264 -0.1041250642474   0.03390628214435 -0.104323244244   
8.063421144214 0.006483766218601 -0.1021133493302   0.03267283655562 -0.102223256134   
8.272860654453 0.006356711423636 -0.1001755243725   0.0315139808479 -0.1002087643081   
8.482300164692 0.006227583662984 -0.09830748682676   0.03042285416994 -0.0982753196766   
8.691739674932 0.00609719304187 -0.0965054568842   0.02939317319533 -0.09641851368026   
8.901179185171 0.00596625714157 -0.09476594206533   0.02841924992109 -0.09463402807424   
9.11061869541 0.005835405026952 -0.09308570704402   0.02749598559256 -0.09291767873163   
9.32005820565 0.005705182127813 -0.09146174776734   0.02661884685859 -0.0912654512631   
9.529497715889 0.005576055827942 -0.08989126911029   0.02578382965265 -0.08967352773309   
9.738937226128 0.005448421549893 -0.08837166545103   0.02498741545276 -0.08813830471982   
9.948376736368 0.005322609111626 -0.08690050367182   0.02422652365913 -0.08665640354241   
10.15781624661 0.005198889157097 -0.08547550818805   0.02349846297419 -0.08522467377511   
10.36725575685 0.005077479489368 -0.08409454768519   0.02280088388494 -0.08384019127239   
10.57669526709 0.004958551172989 -0.0827556233054   0.0221317337062 -0.08250025190764   
10.78613477732 0.004842234305226 -0.08145685807429   0.02148921510053 -0.08120236213136   
10.99557428756 0.004728623391126 -0.08019648739701   0.02087174858882 -0.07994422731922   
11.2050137978 0.004617782280696 -0.07897285048331   0.02027793924248 -0.0787237387281   
11.41445330804 0.004509748651326 -0.07778438258514   0.01970654752811 -0.07753895972788   
11.62389281828 0.004404538034643 -0.07662960794965   0.01915646412013 -0.07638811183563   
11.83333232852 0.004302147401751 -0.07550713340557   0.01862668839894 -0.07526956095345   
12.04277183876 0.004202558325782 -0.07441564251301   0.01811631029023 -0.07418180410373   
12.252211349 0.004105739753105 -0.07335389021691   0.01762449508571 -0.07312345686525   
12.46165085924 0.004011650411184 -0.07232069795211   0.01715047087395 -0.07209324164095   
12.67109036948 0.003920240888367 -0.0713149491548   0.01669351823224 -0.07108997682996   
12.88052987972 0.003831455417822 -0.07033558514065   0.01625296184615 -0.07011256693246   
13.08996938996 0.003745233396918 -0.06938160131438   0.01582816376125 -0.06915999357952   
13.2994089002 0.003661510675821 -0.06845204368071   0.01541851798112 -0.06823130747173   
13.50884841044 0.003580220633572 -0.0675460056238   0.01502344624303 -0.06732562112503   
13.71828792068 0.003501295105332 -0.06666262495155   0.0146423945179 -0.06644210258148   
13.92772743091 0.003424665055357 -0.06580108110616   0.01427483089605 -0.06557996927202   
14.13716694115 0.003350261421588 -0.06496059277051   0.01392024213032 -0.06473848436171   
14.34660645139 0.003278015002172 -0.06414041511122   0.01357813592539 -0.06391694856541   
14.55604596163 0.003207858352548 -0.06333983864187   0.01324803064547 -0.06311470561254   
14.76548547187 0.003139722879557 -0.06255818480664   0.01292947372112 -0.06233111814892   
14.97492498211 0.003073545262297 -0.06179480903434   0.01262200496934 -0.06156560537508   
15.18436449235 0.003009257384071 -0.06104908995917   0.01232521421445 -0.06081757089507   
15.39380400259 0.00294680099829 -0.0603204424326   0.01203866158444 -0.06008650227426   
15.60324351283 0.002886111055854 -0.05960829511561   0.01176196415677 -0.05937184618579   
15.81268302307 0.002827130240483 -0.05891211545097   0.01149472699102 -0.05867312011094   
16.02212253331 0.002769802262224 -0.0582313781631   0.01123656678899 -0.05798984645393   
16.23156204355 0.002714068506134 -0.0575655971091   0.01098713800006 -0.05732154585481   
16.44100155379 0.002659877853793 -0.05691428716844   0.01074608326972 -0.05666778416631   
16.65044106403 0.002607178171007 -0.05627700430196   0.01051306448441 -0.0560281487593   
16.85988057427 0.002555918995946 -0.05565330552004   0.01028776111477 -0.05540219097996   
17.0693200845 0.002506050228199 -0.05504277004483   0.01006987762294 -0.05478953959859   
17.27875959474 0.002457530107317 -0.05444500566422   0.009859088603587 -0.0541898114957   
17.48819910498 0.002410310458146 -0.05385961964496   0.009655120944305 -0.05360262590844   
