0.1047197551197 -0.1179509217941 -0.7588448775064   0.8069983929285 -0.1501253801684   
0.314159265359 -0.1322930372258 -0.5638452657589   0.6707923171934 -0.2941422015984   
0.5235987755983 -0.1125257619325 -0.4724378508232   0.5361062419442 -0.3488766761025   
0.7330382858376 -0.09221554020283 -0.413289363138   0.4311950883238 -0.3591564740663   
0.9424777960769 -0.07589091892797 -0.3707662760714   0.3520448448062 -0.3498548669273   
1.151917306316 -0.0623525845844 -0.3376722417581   0.2938354211025 -0.3330143180212   
1.361356816556 -0.05134850554067 -0.3107257151016   0.2504801176921 -0.3134003831833   
1.570796326795 -0.04236507748415 -0.2883843202851   0.2179988438563 -0.2953313077378   
1.780235837034 -0.03501731358932 -0.2695745324318   0.1924129737066 -0.2795137668753   
1.989675347274 -0.02902629952799 -0.2534871497375   0.1712074949736 -0.2652798827704   
2.199114857513 -0.02414382102326 -0.2395352050237   0.1532430030629 -0.2520913509102   
2.408554367752 -0.02014013787609 -0.2272966490401   0.1380193543546 -0.2397793298722   
2.617993877991 -0.01681882362598 -0.2164592232024   0.1251811351277 -0.2283581990175   
2.827433388231 -0.01402695042104 -0.2067827181068   0.1143561941549 -0.2178573823927   
3.03687289847 -0.01165372974508 -0.1980769994647   0.1051635963943 -0.208256566957   
3.246312408709 -0.009621925647685 -0.1901895012829   0.09725969171466 -0.1994875695099   
3.455751918949 -0.007877503875632 -0.1829973182215   0.09036750501222 -0.1914585139768   
3.665191429188 -0.00638080502352 -0.1764013525855   0.08428141720591 -0.1840760989741   
3.874630939427 -0.005100364996903 -0.1703215133277   0.07885601693611 -0.1772584349708   
4.084070449667 -0.004009229473349 -0.1646926824239   0.07398940394668 -0.1709392420568   
4.293509959906 -0.003083109393856 -0.159461394209   0.06960758130931 -0.1650667032695   
4.502949470145 -0.002299678485813 -0.15458319442   0.0656527761795 -0.1596000339222   
4.712388980385 -0.001638460115059 -0.1500206101488   0.06207604873644 -0.1545057671874   
4.921828490624 -0.001080938025002 -0.1457416316221   0.05883336875742 -0.1497547448669   
5.131268000863 -0.0006106852483563 -0.1417185968454   0.05588402012234 -0.1453201091047   
5.340707511103 -0.000213418256443 -0.1379273773337   0.05319031416533 -0.1411762126636   
5.550147021342 0.000123047748836 -0.1343467796602   0.05071787029229 -0.1372982125966   
5.759586531581 0.0004089305862253 -0.130958096871   0.0484360043546 -0.1336620914456   
5.969026041821 0.0006526737552921 -0.1277447618574   0.04631798860694 -0.1302448920896   
6.17846555206 0.0008611719233217 -0.1246920696718   0.04434109828632 -0.1270250140197   
6.387905062299 0.001040005327882 -0.1217869470631   0.04248644851887 -0.1239824775684   
6.597344572539 0.001193665480549 -0.1190177554971   0.04073866806336 -0.1210991090957   
6.806784082778 0.001325760876571 -0.116374119267   0.03908546971645 -0.1183586324756   
7.016223593017 0.001439196720786 -0.1138467736637   0.03751717384245 -0.1157466720958   
7.225663103257 0.00153632666256 -0.1114274301672   0.03602623037027 -0.1132506829315   
7.435102613496 0.001619077251978 -0.1091086567192   0.03460677131715 -0.1108598270545   
7.644542123735 0.001689047468286 -0.1068837716923   0.03325421347702 -0.1085648156837   
